1.0000,0.0000,0.0000,0.0000, 
1.0000,0.0001,-0.0001,-0.0000, 
1.0000,0.0004,-0.0005,-0.0001, 
1.0000,0.0008,-0.0011,-0.0002, 
1.0000,0.0014,-0.0020,-0.0004, 
1.0000,0.0022,-0.0031,-0.0006, 
1.0000,0.0031,-0.0044,-0.0008, 
1.0000,0.0042,-0.0059,-0.0011, 
1.0000,0.0055,-0.0076,-0.0014, 
0.9999,0.0069,-0.0096,-0.0018, 
0.9999,0.0084,-0.0117,-0.0022, 
0.9998,0.0101,-0.0140,-0.0026, 
0.9998,0.0119,-0.0165,-0.0031, 
0.9997,0.0138,-0.0192,-0.0036, 
0.9996,0.0159,-0.0221,-0.0041, 
0.9995,0.0180,-0.0251,-0.0047, 
0.9994,0.0203,-0.0283,-0.0053, 
0.9992,0.0227,-0.0316,-0.0060, 
0.9990,0.0252,-0.0351,-0.0067, 
0.9988,0.0278,-0.0387,-0.0074, 
0.9986,0.0305,-0.0425,-0.0081, 
0.9983,0.0333,-0.0464,-0.0089, 
0.9980,0.0362,-0.0505,-0.0097, 
0.9977,0.0392,-0.0546,-0.0105, 
0.9973,0.0422,-0.0589,-0.0114, 
0.9969,0.0454,-0.0633,-0.0122, 
0.9964,0.0486,-0.0678,-0.0132, 
0.9959,0.0519,-0.0724,-0.0141, 
0.9954,0.0552,-0.0772,-0.0150, 
0.9948,0.0587,-0.0820,-0.0160, 
0.9941,0.0622,-0.0869,-0.0170, 
0.9934,0.0657,-0.0919,-0.0181, 
0.9927,0.0693,-0.0969,-0.0191, 
0.9919,0.0730,-0.1021,-0.0202, 
0.9910,0.0767,-0.1073,-0.0213, 
0.9901,0.0804,-0.1126,-0.0224, 
0.9892,0.0843,-0.1180,-0.0235, 
0.9881,0.0881,-0.1235,-0.0247, 
0.9870,0.0920,-0.1289,-0.0258, 
0.9859,0.0959,-0.1345,-0.0270, 
0.9847,0.0999,-0.1401,-0.0282, 
0.9834,0.1038,-0.1457,-0.0295, 
0.9821,0.1078,-0.1514,-0.0307, 
0.9807,0.1119,-0.1572,-0.0319, 
0.9792,0.1159,-0.1629,-0.0332, 
0.9777,0.1200,-0.1687,-0.0345, 
0.9761,0.1241,-0.1746,-0.0358, 
0.9745,0.1282,-0.1804,-0.0371, 
0.9728,0.1323,-0.1863,-0.0384, 
0.9710,0.1365,-0.1922,-0.0397, 
0.9692,0.1406,-0.1981,-0.0411, 
0.9673,0.1448,-0.2041,-0.0424, 
0.9653,0.1489,-0.2100,-0.0438, 
0.9633,0.1531,-0.2160,-0.0452, 
0.9612,0.1572,-0.2219,-0.0465, 
0.9590,0.1614,-0.2279,-0.0479, 
0.9568,0.1655,-0.2338,-0.0493, 
0.9545,0.1696,-0.2398,-0.0507, 
0.9522,0.1738,-0.2457,-0.0521, 
0.9498,0.1779,-0.2517,-0.0536, 
0.9474,0.1820,-0.2576,-0.0550, 
0.9449,0.1861,-0.2635,-0.0564, 
0.9423,0.1901,-0.2694,-0.0578, 
0.9397,0.1942,-0.2753,-0.0593, 
0.9370,0.1982,-0.2811,-0.0607, 
0.9343,0.2023,-0.2870,-0.0622, 
0.9315,0.2063,-0.2928,-0.0636, 
0.9287,0.2102,-0.2985,-0.0651, 
0.9258,0.2142,-0.3043,-0.0665, 
0.9229,0.2181,-0.3100,-0.0680, 
0.9199,0.2220,-0.3157,-0.0695, 
0.9169,0.2259,-0.3214,-0.0709, 
0.9138,0.2297,-0.3270,-0.0724, 
0.9107,0.2335,-0.3325,-0.0739, 
0.9076,0.2373,-0.3381,-0.0753, 
0.9044,0.2411,-0.3436,-0.0768, 
0.9012,0.2448,-0.3490,-0.0782, 
0.8979,0.2485,-0.3544,-0.0797, 
0.8946,0.2521,-0.3598,-0.0812, 
0.8913,0.2558,-0.3651,-0.0826, 
0.8880,0.2593,-0.3704,-0.0841, 
0.8846,0.2629,-0.3756,-0.0855, 
